"Name","DisplayName","StartType"
"BFE","Motor de filtrado de base","Automatic"
"BrokerInfrastructure","Servicio de infraestructura de tareas en segundo plano","Automatic"
"CDPSvc","Servicio de plataforma de dispositivos conectados","Automatic"
"CDPUserSvc_189606","Servicio de usuario de plataforma de dispositivos conectados_189606","Automatic"
"CertPropSvc","Propagaci?n de certificados","Manual"
"CoreMessagingRegistrar","CoreMessaging","Automatic"
"CryptSvc","Servicios de cifrado","Automatic"
"DcomLaunch","Iniciador de procesos de servidor DCOM","Automatic"
"Dhcp","Cliente DHCP","Automatic"
"DiagTrack","Experiencias del usuario y telemetr?a asociadas","Automatic"
"Dnscache","Cliente DNS","Automatic"
"DPS","Servicio de directivas de diagn?stico","Automatic"
"EventLog","Registro de eventos de Windows","Automatic"
"EventSystem","Sistema de eventos COM+","Automatic"
"fdPHost","Host de proveedor de detecci?n de funci?n","Manual"
"FDResPub","Publicaci?n de recurso de detecci?n de funci?n","Manual"
"FontCache","Servicio de cach? de fuentes de Windows","Automatic"
"gpsvc","Cliente de directiva de grupo","Automatic"
"hidserv","Servicio de dispositivo de interfaz humana","Manual"
"iphlpsvc","Aplicaci?n auxiliar IP","Automatic"
"KeyIso","Aislamiento de claves CNG","Manual"
"LanmanServer","Servidor","Automatic"
"LanmanWorkstation","Estaci?n de trabajo","Automatic"
"lmhosts","Aplicaci?n auxiliar de NetBIOS sobre TCP/IP","Manual"
"LSM","Administrador de sesi?n local","Automatic"
"MDCoreSvc","Servicio principal de Microsoft Defender","Automatic"
"mpssvc","Firewall de Windows Defender","Automatic"
"MSDTC","Coordinador de transacciones distribuidas","Automatic"
"NcbService","Agente de conexi?n de red","Manual"
"netprofm","Servicio de lista de redes","Manual"
"NetSetupSvc","Servicio de configuraci?n de red","Manual"
"NlaSvc","Reconoc. ubicaci?n de red","Automatic"
"nsi","Servicio Interfaz de almacenamiento en red","Automatic"
"PcaSvc","Servicio Asistente para la compatibilidad de programas","Manual"
"PlugPlay","Plug and Play","Manual"
"Power","Energ?a","Automatic"
"ProfSvc","Servicio de perfil de usuario","Automatic"
"RpcEptMapper","Asignador de extremos de RPC","Automatic"
"RpcSs","Llamada a procedimiento remoto (RPC)","Automatic"
"SamSs","Administrador de cuentas de seguridad","Automatic"
"ScDeviceEnum","Servicio de enumeraci?n de dispositivos de tarjeta inteligente","Manual"
"Schedule","Programador de tareas","Automatic"
"SENS","Servicio de notificaci?n de eventos de sistema","Automatic"
"SessionEnv","Configuraci?n de Escritorio remoto","Manual"
"ShellHWDetection","Detecci?n de hardware shell","Automatic"
"Spooler","Cola de impresi?n","Automatic"
"StateRepository","Servicio de repositorio de estado","Manual"
"StorSvc","Servicio de almacenamiento","Manual"
"SysMain","SysMain","Automatic"
"SystemEventsBroker","Agente de eventos del sistema","Automatic"
"TabletInputService","Servicio de Panel de escritura a mano y teclado t?ctil","Manual"
"TermService","Servicios de Escritorio remoto","Manual"
"Themes","Temas","Automatic"
"TimeBrokerSvc","Agente de eventos de tiempo","Manual"
"TokenBroker","Administrador de cuentas web","Manual"
"TrkWks","Cliente de seguimiento de v?nculos distribuidos","Automatic"
"UALSVC","Servicio de registro de acceso de usuarios","Automatic"
"UmRdpService","Redirector de puerto en modo usuario de Servicios de Escritorio remoto","Manual"
"UserManager","Administrador de usuarios","Automatic"
"UsoSvc","Update Orchestrator Service","Automatic"
"W32Time","Hora de Windows","Automatic"
"Wcmsvc","Administrador de conexiones de Windows","Automatic"
"WdiSystemHost","Host de sistema de diagn?stico","Manual"
"WdNisSvc","Servicio de inspecci?n de red de Antivirus de Microsoft Defender","Manual"
"WinDefend","Servicio Antivirus de Microsoft Defender","Automatic"
"WinHttpAutoProxySvc","Servicio de detecci?n autom?tica de proxy web WinHTTP","Manual"
"Winmgmt","Instrumental de administraci?n de Windows","Automatic"
"WinRM","Administraci?n remota de Windows (WS-Management)","Automatic"
"WLMS","Servicio de supervisi?n de licencias de Windows","Automatic"
"WpnService","Servicio del sistema de notificaciones de inserci?n de Windows","Automatic"
"WpnUserService_189606","Servicio de usuario de notificaciones de inserci?n de Windows_189606","Automatic"
"wuauserv","Windows Update","Manual"
